,Date,Time,Aspect 0 of Phase I  State,Aspect 1 of Phase I  State,Aspect 2 of Phase I  State,Result,Phase
447,03-Jun-17,10:09:58,1,0,0,0,I
448,03-Jun-17,10:09:58,1,0,0,0,I
449,03-Jun-17,10:09:58,1,0,0,0,I
450,03-Jun-17,10:09:58,1,0,0,0,I
451,03-Jun-17,10:09:58,1,0,0,0,I
452,03-Jun-17,10:09:58,1,0,0,0,I
453,03-Jun-17,10:09:58,1,0,0,0,I
454,03-Jun-17,10:09:59,1,0,0,0,I
455,03-Jun-17,10:09:59,1,0,0,0,I
456,03-Jun-17,10:09:59,1,0,0,0,I
457,03-Jun-17,10:09:59,1,0,0,0,I
458,03-Jun-17,10:10:00,1,0,0,0,I
459,03-Jun-17,10:10:00,1,0,0,0,I
460,03-Jun-17,10:10:00,1,0,0,0,I
461,03-Jun-17,10:10:00,1,0,0,0,I
462,03-Jun-17,10:10:00,1,0,0,0,I
463,03-Jun-17,10:10:01,1,0,0,0,I
464,03-Jun-17,10:10:01,1,0,0,0,I
465,03-Jun-17,10:10:01,1,0,0,0,I
466,03-Jun-17,10:10:01,1,0,0,0,I
467,03-Jun-17,10:10:01,1,0,0,0,I
468,03-Jun-17,10:10:01,1,0,0,0,I
469,03-Jun-17,10:10:02,1,0,0,0,I
470,03-Jun-17,10:10:02,1,0,0,0,I
471,03-Jun-17,10:10:02,1,0,0,0,I
472,03-Jun-17,10:10:02,1,0,0,0,I
473,03-Jun-17,10:10:03,1,0,0,0,I
474,03-Jun-17,10:10:03,1,0,0,0,I
475,03-Jun-17,10:10:03,1,0,0,0,I
476,03-Jun-17,10:10:03,1,0,0,0,I
477,03-Jun-17,10:10:03,1,0,0,0,I
478,03-Jun-17,10:10:03,1,0,0,0,I
479,03-Jun-17,10:10:04,1,0,0,0,I
480,03-Jun-17,10:10:04,1,0,0,0,I
481,03-Jun-17,10:10:04,1,0,0,0,I
482,03-Jun-17,10:10:04,1,0,0,0,I
483,03-Jun-17,10:10:04,1,0,0,0,I
484,03-Jun-17,10:10:05,1,0,0,0,I
485,03-Jun-17,10:10:05,1,0,0,0,I
486,03-Jun-17,10:10:05,1,0,0,0,I
487,03-Jun-17,10:10:05,1,0,0,0,I
488,03-Jun-17,10:10:06,1,0,0,0,I
489,03-Jun-17,10:10:06,1,0,0,0,I
490,03-Jun-17,10:10:06,1,0,0,0,I
491,03-Jun-17,10:10:06,1,0,0,0,I
492,03-Jun-17,10:10:06,1,0,0,0,I
493,03-Jun-17,10:10:06,1,0,0,0,I
494,03-Jun-17,10:10:07,1,0,0,0,I
495,03-Jun-17,10:10:07,1,0,0,0,I
496,03-Jun-17,10:10:07,1,0,0,0,I
497,03-Jun-17,10:10:07,1,0,0,0,I
498,03-Jun-17,10:10:07,1,0,0,0,I
499,03-Jun-17,10:10:08,1,0,0,0,I
500,03-Jun-17,10:10:08,1,0,0,0,I
501,03-Jun-17,10:10:08,1,0,0,0,I
502,03-Jun-17,10:10:08,1,0,0,0,I
503,03-Jun-17,10:10:08,1,0,0,0,I
504,03-Jun-17,10:10:09,1,0,0,0,I
505,03-Jun-17,10:10:09,1,0,0,0,I
506,03-Jun-17,10:10:09,1,0,0,0,I
507,03-Jun-17,10:10:09,1,0,0,0,I
508,03-Jun-17,10:10:10,1,0,0,0,I
509,03-Jun-17,10:10:10,1,0,0,0,I
510,03-Jun-17,10:10:10,1,0,0,0,I
511,03-Jun-17,10:10:10,1,0,0,0,I
512,03-Jun-17,10:10:10,1,0,0,0,I
513,03-Jun-17,10:10:11,1,0,0,0,I
514,03-Jun-17,10:10:11,1,0,0,0,I
515,03-Jun-17,10:10:11,1,0,0,0,I
516,03-Jun-17,10:10:11,1,0,0,0,I
517,03-Jun-17,10:10:11,1,0,0,0,I
518,03-Jun-17,10:10:11,1,0,0,0,I
519,03-Jun-17,10:10:12,1,0,0,0,I
520,03-Jun-17,10:10:12,1,0,0,0,I
521,03-Jun-17,10:10:12,1,0,0,0,I
522,03-Jun-17,10:10:12,1,0,0,0,I
523,03-Jun-17,10:10:13,1,0,0,0,I
524,03-Jun-17,10:10:13,1,0,0,0,I
525,03-Jun-17,10:10:13,1,0,0,0,I
526,03-Jun-17,10:10:13,1,0,0,0,I
527,03-Jun-17,10:10:13,1,0,0,0,I
528,03-Jun-17,10:10:14,1,0,0,0,I
529,03-Jun-17,10:10:14,1,0,0,0,I
530,03-Jun-17,10:10:14,1,0,0,0,I
531,03-Jun-17,10:10:14,1,0,0,0,I
532,03-Jun-17,10:10:14,1,0,0,0,I
533,03-Jun-17,10:10:14,1,0,0,0,I
534,03-Jun-17,10:10:15,1,0,0,0,I
535,03-Jun-17,10:10:15,1,0,0,0,I
536,03-Jun-17,10:10:15,1,0,0,0,I
537,03-Jun-17,10:10:15,1,0,0,0,I
538,03-Jun-17,10:10:15,1,0,0,0,I
539,03-Jun-17,10:10:16,1,0,0,0,I
540,03-Jun-17,10:10:16,1,0,0,0,I
541,03-Jun-17,10:10:16,1,0,0,0,I
542,03-Jun-17,10:10:16,1,0,0,0,I
543,03-Jun-17,10:10:17,1,0,0,0,I
544,03-Jun-17,10:10:17,1,0,0,0,I
545,03-Jun-17,10:10:17,1,0,0,0,I
546,03-Jun-17,10:10:17,1,0,0,0,I
547,03-Jun-17,10:10:17,1,0,0,0,I
548,03-Jun-17,10:10:18,1,0,0,0,I
549,03-Jun-17,10:10:18,1,0,0,0,I
550,03-Jun-17,10:10:18,1,0,0,0,I
551,03-Jun-17,10:10:18,1,0,0,0,I
552,03-Jun-17,10:10:19,1,0,0,0,I
553,03-Jun-17,10:10:19,1,0,0,0,I
554,03-Jun-17,10:10:19,1,0,0,0,I
555,03-Jun-17,10:10:19,1,0,0,0,I
556,03-Jun-17,10:10:19,1,0,0,0,I
557,03-Jun-17,10:10:19,1,0,0,0,I
558,03-Jun-17,10:10:19,1,0,0,0,I
559,03-Jun-17,10:10:20,1,0,0,0,I
560,03-Jun-17,10:10:20,1,0,0,0,I
561,03-Jun-17,10:10:20,1,0,0,0,I
562,03-Jun-17,10:10:20,1,0,0,0,I
563,03-Jun-17,10:10:21,1,0,0,0,I
564,03-Jun-17,10:10:21,1,0,0,0,I
565,03-Jun-17,10:10:21,1,0,0,0,I
566,03-Jun-17,10:10:21,1,0,0,0,I
567,03-Jun-17,10:10:21,1,0,0,0,I
568,03-Jun-17,10:10:22,1,0,0,0,I
569,03-Jun-17,10:10:22,1,0,0,0,I
570,03-Jun-17,10:10:22,1,0,0,0,I
571,03-Jun-17,10:10:22,1,0,0,0,I
572,03-Jun-17,10:10:23,1,0,0,0,I
573,03-Jun-17,10:10:23,1,0,0,0,I
574,03-Jun-17,10:10:23,1,0,0,0,I
575,03-Jun-17,10:10:23,1,0,0,0,I
576,03-Jun-17,10:10:23,1,0,0,0,I
577,03-Jun-17,10:10:23,1,0,0,0,I
578,03-Jun-17,10:10:24,1,0,0,0,I
579,03-Jun-17,10:10:24,1,0,0,0,I
580,03-Jun-17,10:10:24,1,0,0,0,I
581,03-Jun-17,10:10:24,1,0,0,0,I
582,03-Jun-17,10:10:24,1,0,0,0,I
583,03-Jun-17,10:10:25,1,0,0,0,I
584,03-Jun-17,10:10:25,1,0,0,0,I
585,03-Jun-17,10:10:25,1,0,0,0,I
586,03-Jun-17,10:10:25,1,0,0,0,I
587,03-Jun-17,10:10:25,1,0,0,0,I
588,03-Jun-17,10:10:26,1,0,0,0,I
589,03-Jun-17,10:10:26,1,0,0,0,I
590,03-Jun-17,10:10:26,1,0,0,0,I
591,03-Jun-17,10:10:26,1,0,0,0,I
592,03-Jun-17,10:10:27,1,0,0,0,I
593,03-Jun-17,10:10:27,1,0,0,0,I
594,03-Jun-17,10:10:27,1,0,0,0,I
595,03-Jun-17,10:10:27,1,0,0,0,I
596,03-Jun-17,10:10:27,1,0,0,0,I
597,03-Jun-17,10:10:27,1,0,0,0,I
598,03-Jun-17,10:10:27,1,0,0,0,I
599,03-Jun-17,10:10:28,1,0,0,0,I
600,03-Jun-17,10:10:28,1,0,0,0,I
601,03-Jun-17,10:10:28,1,0,0,0,I
602,03-Jun-17,10:10:28,1,0,0,0,I
603,03-Jun-17,10:10:28,1,0,0,0,I
604,03-Jun-17,10:10:29,1,0,0,0,I
605,03-Jun-17,10:10:29,1,0,0,0,I
606,03-Jun-17,10:10:29,1,0,0,0,I
607,03-Jun-17,10:10:29,1,0,0,0,I
608,03-Jun-17,10:10:30,1,0,0,0,I
609,03-Jun-17,10:10:30,1,0,0,0,I
610,03-Jun-17,10:10:30,1,0,0,0,I
611,03-Jun-17,10:10:30,1,0,0,0,I
612,03-Jun-17,10:10:30,1,0,0,0,I
613,03-Jun-17,10:10:31,1,0,0,0,I
614,03-Jun-17,10:10:31,1,0,0,0,I
615,03-Jun-17,10:10:31,1,0,0,0,I
616,03-Jun-17,10:10:31,1,0,0,0,I
617,03-Jun-17,10:10:31,1,0,0,0,I
618,03-Jun-17,10:10:32,1,0,0,0,I
619,03-Jun-17,10:10:32,1,0,0,0,I
620,03-Jun-17,10:10:32,1,0,0,0,I
621,03-Jun-17,10:10:32,1,0,0,0,I
622,03-Jun-17,10:10:32,1,0,0,0,I
623,03-Jun-17,10:10:32,1,0,0,0,I
624,03-Jun-17,10:10:33,1,0,0,0,I
625,03-Jun-17,10:10:33,1,0,0,0,I
626,03-Jun-17,10:10:33,1,0,0,0,I
627,03-Jun-17,10:10:33,1,0,0,0,I
628,03-Jun-17,10:10:34,1,0,0,0,I
629,03-Jun-17,10:10:34,1,0,0,0,I
630,03-Jun-17,10:10:34,1,0,0,0,I
631,03-Jun-17,10:10:34,1,0,0,0,I
